Original RSID,All Merged RSIDs,Merged Dates,Revisions,Locus,Name,Orientation,Sequence Ontology,hg38 Position,Clinical,Gene Length,
rs2986736,{9435260; 58626321; },{2004-09-24T19:37Z; 2008-05-24T23:08Z; },{123; 130; },ESPN,espin,plus,intron_variant,6452486,,3543,
rs198398,{497688; 57983306; },{2000-09-19T14:18Z; 2008-05-24T08:55Z; },{85; 130; },CLCN6,chloride voltage-gated channel 6,plus,intron_variant,11823284,,5631,
rs67934705,67934706,2009-02-27T14:14Z,130,,,,,,,,
rs6672420,{17361197; 52795710; 58889950; },{2004-10-8T00:36Z; 2007-09-21T16:00Z; 2008-05-25T04:21Z; },{123; 128; 130; },RUNX3,RUNX family transcription factor 3,minus,coding_sequence_variant,24964518,,4267,
rs373408129,,,,,,,,32738414,,,
rs72922276,,,,JAK1,Janus kinase 1,minus,intron_variant,64963635,,3144,
rs11161550,,,,,,,,85216336,,,
rs35486093,61659261,2008-05-27T06:53Z,130,,,,,85264136,,,
rs12133753,56809696,2009-02-27T15:58Z,130,TGFBR3,transforming growth factor beta receptor 3,minus,intron_variant,91756531,,6455,
rs58394161,,,,GFI1,growth factor independent 1 transcriptional repressor,minus,3_prime_UTR_variant,92474401,,4554,
rs11809700,{35271180; 139504223; },{2006-10-14T15:16Z; 2014-08-21T16:14Z; },{127; 142; },EVI5,ecotropic viral integration site 5,minus,intron_variant,92687077,,7389,
rs1415069,,,,DIPK1A,divergent protein kinase domain 1A,minus,intron_variant,92961311,,865,
rs11578655,,,,SLC30A7,solute carrier family 30 member 7,plus,intron_variant,100947345,,7898,
rs10801908,56907083,2008-05-23T13:24Z,130,CD58,CD58 molecule,minus,intron_variant,116547870,,1086,
rs483180,17186198,2004-10-8T00:51Z,123,PHGDH,phosphoglycerate dehydrogenase,plus,intron_variant,119724881,,2585,
rs112344141,,,,ZBTB7B,zinc finger and BTB domain containing 7B,plus,intron_variant,155010559,,4017,
rs2317231,4272617,2006-03-11T00:28Z,126,,,,,157716546,,,
rs3737798,,,,VANGL2,VANGL planar cell polarity protein 2,plus,intron_variant,160420193,,5354,
rs6427540,60485053,2008-05-26T05:21Z,130,,,,,160664797,,,
rs983494,58534048,2008-05-24T20:56Z,130,LOC124904440,uncharacterized LOC124904440,minus,non_coding_transcript_variant,160734174,,,
rs1323292,{12759101; 60768761; },{2004-09-24T18:45Z; 2008-05-26T09:40Z; },{123; 130; },LOC105371664,uncharacterized LOC105371664,minus,intron_variant,192571890,,,
rs59655222,,,,INAVA,innate immunity activator,plus,intron_variant,200906768,,570,
rs9308424,58069880,2008-05-24T10:09Z,130,,,,,212704433,,,
rs11899404,61084559,2008-05-26T17:34Z,130,MIR3681HG,MIR3681 host gene,plus,intron_variant,12467766,,781,
rs11125803,{36165996; 60184726; },{2006-10-13T23:41Z; 2008-05-25T23:24Z; },{127; 130; },ADCY3,adenylate cyclase 3,minus,intron_variant,24829307,,5050,
rs13414105,117925807,2010-08-16T13:01Z,132,LBH,LBH regulator of WNT signaling pathway,plus,intron_variant,30249575,,2930,
rs12478539,17333738,2004-10-8T03:32Z,123,LOC105374570,uncharacterized LOC105374570,plus,upstream_transcript_variant,43128184,,,
rs1177228,61561164,2008-05-27T05:04Z,130,PUS10,pseudouridine synthase 10,minus,intron_variant,61015274,,6366,
rs13385171,,,,,,,,65434708,,,
rs12622670,58323013,2008-05-24T15:31Z,130,,,,,68419403,,,
rs11684402,71252597,2015-07-1T11:49Z,144,,,,,111735408,,,
rs57116599,,,,MERTK,MER proto-oncogene. tyrosine kinase,plus,intron_variant,112013221,,3826,
rs10191360,61315458,2008-05-26T23:05Z,130,,,,,136127108,,,
rs962052,59816757,2008-05-25T18:27Z,130,,,,,150787688,,,
rs6738544,59724333,2008-05-25T16:56Z,130,STAT4,signal transducer and activator of transcription 4,minus,intron_variant,191124629,,2560,
rs12614091,,,,,,,,203768137,,,
rs35540610,62191184,2008-05-24T20:51Z,130,SP140,SP140 nuclear body protein,plus,genic_downstream_transcript_variant,230257113,,580,
rs9863496,56904863,2008-05-23T12:59Z,130,,,,,18757355,,,
rs13327021,{58034067; 74280107; },{2008-05-24T09:36Z; 2009-12-2T15:53Z; },{130; 131; },,,,,27741523,,,
rs438613,{819995; 58584569; },{2003-02-20T13:22Z; 2008-05-24T21:30Z; },{111; 130; },LINC01967,uncharacterized LINC01967,minus,upstream_transcript_variant,28030594,,826,
rs11919880,60961549,2008-05-26T13:22Z,130,,,,,32920558,,,
rs9878602,{57285906; 60800059; },{2009-02-27T13:19Z; 2008-05-26T09:52Z; },{130; 130; },FOXP1,forkhead box P1,minus,intron_variant,71486186,,7103,
rs111430408,,,,,,,,101129752,,,
rs4325907,60063456,2008-05-25T21:43Z,130,,,,,102030177,,,
rs2289746,{17280866; 59903121; },{2004-10-7T23:41Z; 2008-05-25T19:27Z; },{123; 130; },CBLB,Cbl proto-oncogene B,minus,intron_variant,105737110,,6749,
rs138433213,,,,CD200R1,CD200 receptor 1,minus,upstream_transcript_variant,112975135,,3765,
rs9843355,59540066,2008-05-25T14:26Z,130,TIMMDC1,translocase of inner mitochondrial membrane domain containing 1,plus,intron_variant,119509660,,2379,
rs2331964,{56594859; 56772616; },{2008-05-26T12:55Z; 2009-02-27T14:03Z; },{130; 130; },IQCB1,IQ motif containing B1,minus,intron_variant,121824050,,2577,
