Original RSID,All Merged RSIDs,Merged Dates,Revisions,Locus,Name,Orientation,Sequence Ontology,hg38 Position,Clinical,Gene Length,GRCh38,GRCh37,
rs10789144,57147773,2009-02-26T15:20Z,130,ZFP69,ZFP69 zinc finger protein,plus,intron_variant,40489483,,2796,1:40489484-40489484,1:40955156-40955156,
rs11211176,{12746348; 56560119; 61429159; },{2004-10-8T01:55Z; 2008-05-27T11:26Z; 2008-05-27T01:39Z; },{123; 130; 130; },LOC105378693,uncharacterized LOC105378693,plus,intron_variant,45757413,,,1:45757414-45757414,1:46223086-46223086,
rs17418151,58886608,2009-02-26T21:42Z,130,,,,,55636336,,,1:55636337-55636337,1:56102010-56102010,
rs1321172,{17425605; 60587525; },{2004-10-8T01:31Z; 2009-02-27T12:59Z; },{123; 130; },PDE4B,phosphodiesterase 4B,plus,genic_upstream_transcript_variant,66265029,,3998,1:66265030-66265030,1:66730713-66730713,
rs11164607,{57284854; 57773146; 111173210; },{2008-05-23T20:40Z; 2009-02-26T16:06Z; 2011-09-17T04:07Z; },{130; 130; 135; },GFI1,growth factor independent 1 transcriptional repressor,minus,intron_variant,92481580,,4554,1:92481581-92481581,1:92947138-92947138,
rs4970700,{17505693; 60424126; 60862835; 111170475; },{2004-10-8T01:59Z; 2009-02-27T13:42Z; 2008-05-26T11:04Z; 2014-08-21T16:14Z; },{123; 130; 130; 142; },EVI5,ecotropic viral integration site 5,minus,3_prime_UTR_variant,92509935,,7389,1:92509936-92509936,1:92975493-92975493,
rs12743520,57058339,2009-02-27T00:25Z,130,EVI5,ecotropic viral integration site 5,minus,intron_variant,92571554,,7389,1:92571555-92571555,1:93037112-93037112,
rs1415296,{17506356; 56483401; 61152409; 111165463; },{2004-10-8T01:59Z; 2008-05-26T17:25Z; 2009-02-27T14:35Z; 2014-08-21T16:14Z; },{123; 130; 130; 142; },EVI5,ecotropic viral integration site 5,minus,intron_variant,92624918,,7389,1:92624919-92624919,1:93090476-93090476,
rs10735781,{57074464; 57891493; },{2008-05-23T17:27Z; 2009-02-26T15:12Z; },{130; 130; },EVI5,ecotropic viral integration site 5,minus,intron_variant,92655549,,7389,1:92655550-92655550,1:93121107-93121107,
rs11800848,{17380599; 60770185; 118197221; },{2004-10-8T01:59Z; 2009-02-26T14:49Z; 2013-04-26T00:07Z; },{123; 130; 138; },EVI5,ecotropic viral integration site 5,minus,intron_variant,92662369,,7389,1:92662370-92662370,1:93127927-93127927,
rs4847267,{57537259; 58251538; },{2009-02-26T22:02Z; 2008-05-24T13:20Z; },{130; 130; },EVI5,ecotropic viral integration site 5,minus,intron_variant,92689789,,7389,1:92689790-92689790,1:93155347-93155347,
SNP_A-1931091,,,,,,,,85213505,,,,,
rs6680578,{17548051; 56534098; 58834598; 61171376; },{2004-10-8T01:59Z; 2008-05-26T19:45Z; 2009-02-27T15:10Z; 2008-05-26T19:45Z; },{123; 130; 130; 130; },EVI5,ecotropic viral integration site 5,minus,intron_variant,92711320,,7389,1:92711321-92711321,1:93176878-93176878,
rs6604026,{57855981; 386603839; },{2008-05-24T07:09Z; 2014-08-21T16:14Z; },{130; 142; },RPL5,ribosomal protein L5,plus,intron_variant,92838045,,896,1:92838046-92838046,1:93303603-93303603,
rs7514280,58317005,2009-02-27T08:59Z,130,DIPK1A,divergent protein kinase domain 1A,minus,intron_variant,92855311,,865,1:92855312-92855312,1:93320869-93320869,
rs10874746,{57093076; 61374613; },{2009-02-27T16:14Z; 2008-05-27T00:37Z; },{130; 130; },DIPK1A,divergent protein kinase domain 1A,minus,intron_variant,92858413,,865,1:92858414-92858414,1:93323971-93323971,
rs2811600,{59121783; 60070286; },{2008-05-25T08:11Z; 2009-02-27T04:14Z; },{130; 130; },DIPK1A,divergent protein kinase domain 1A,minus,intron_variant,92868580,,865,1:92868581-92868581,1:93334138-93334138,
rs7536563,{56576389; 58610728; },{2008-05-25T03:59Z; 2009-02-27T02:32Z; },{130; 130; },DIPK1A,divergent protein kinase domain 1A,minus,intron_variant,92883488,,865,1:92883489-92883489,1:93349046-93349046,
rs2255723,{9439945; 56570970; 56879183; },{2004-10-8T02:00Z; 2008-05-26T02:22Z; 2009-02-27T10:58Z; },{123; 130; 130; },DIPK1A,divergent protein kinase domain 1A,minus,intron_variant,92902751,,865,1:92902752-92902752,1:93368309-93368309,
rs11164835,{17372105; 60722702; },{2004-10-8T02:00Z; 2009-02-27T12:07Z; },{123; 130; },DIPK1A,divergent protein kinase domain 1A,minus,intron_variant,92913535,,865,1:92913536-92913536,1:93379093-93379093,
rs9651257,{17384890; 58516651; 386624042; },{2004-10-8T02:00Z; 2009-02-27T14:40Z; 2014-08-21T16:14Z; },{123; 130; 142; },DIPK1A,divergent protein kinase domain 1A,minus,intron_variant,92919578,,865,1:92919579-92919579,1:93385136-93385136,
rs11164838,{17380824; 56933546; 59174615; },{2004-10-8T02:00Z; 2008-05-23T14:05Z; 2009-02-26T12:17Z; },{123; 130; 130; },DIPK1A,divergent protein kinase domain 1A,minus,intron_variant,92929820,,865,1:92929821-92929821,1:93395378-93395378,
rs12745968,{17380887; 58038899; },{2004-10-8T02:00Z; 2009-02-26T22:04Z; },{123; 130; },DIPK1A,divergent protein kinase domain 1A,minus,intron_variant,92936279,,865,1:92936280-92936280,1:93401837-93401837,
rs17380908,57214805,2009-02-26T19:42Z,130,DIPK1A,divergent protein kinase domain 1A,minus,intron_variant,92936993,,865,1:92936994-92936994,1:93402551-93402551,
rs521428,59358570,2009-02-27T07:01Z,130,LOC124904219,uncharacterized LOC124904219,plus,intron_variant,92979939,,,1:92979940-92979940,1:93445497-93445497,
rs532834,{770882; 56903270; 57595538; },{2001-06-15T11:48Z; 2008-05-23T13:12Z; 2009-02-26T12:20Z; },{96; 130; 130; },,,,,93002504,,,1:93002505-93002505,1:93468062-93468062,
rs4838992,56677196,2009-02-27T15:27Z,130,RBM15-AS1,RBM15 antisense RNA 1,minus,intron_variant,110321526,,2611,1:110321527-110321527,1:110864149-110864149,
